sdk_file	system_path	binary_package	binary_version	source_package	source_version
/usr/include/EGL/egl.h	/usr/include/EGL/egl.h	libegl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/EGL/eglext.h	/usr/include/EGL/eglext.h	libegl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/EGL/eglext_angle.h	/usr/include/EGL/eglext_angle.h	libegl1-mesa-dev	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
/usr/include/EGL/eglmesaext.h	/usr/include/EGL/eglmesaext.h	libegl1-mesa-dev	23.2.1-1ubuntu3.1~22.04.3	mesa	23.2.1-1ubuntu3.1~22.04.3
/usr/include/EGL/eglplatform.h	/usr/include/EGL/eglplatform.h	libegl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/gl.h	/usr/include/GL/gl.h	libgl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/glcorearb.h	/usr/include/GL/glcorearb.h	libgl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/glext.h	/usr/include/GL/glext.h	libgl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/glu.h	/usr/include/GL/glu.h	libglu1-mesa-dev	9.0.2-1	libglu	9.0.2-1
/usr/include/GL/glx.h	/usr/include/GL/glx.h	libglx-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/glxext.h	/usr/include/GL/glxext.h	libglx-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GL/glxint.h	/usr/include/GL/glxint.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/GL/glxmd.h	/usr/include/GL/glxmd.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/GL/glxproto.h	/usr/include/GL/glxproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/GL/glxtokens.h	/usr/include/GL/glxtokens.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/GL/internal/glcore.h	/usr/include/GL/internal/glcore.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/GLES/egl.h	/usr/include/GLES/egl.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES/gl.h	/usr/include/GLES/gl.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES/glext.h	/usr/include/GLES/glext.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES/glplatform.h	/usr/include/GLES/glplatform.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES2/gl2.h	/usr/include/GLES2/gl2.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES2/gl2ext.h	/usr/include/GLES2/gl2ext.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES2/gl2platform.h	/usr/include/GLES2/gl2platform.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES3/gl3.h	/usr/include/GLES3/gl3.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES3/gl31.h	/usr/include/GLES3/gl31.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES3/gl32.h	/usr/include/GLES3/gl32.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES3/gl3ext.h	/usr/include/GLES3/gl3ext.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/GLES3/gl3platform.h	/usr/include/GLES3/gl3platform.h	libgles-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/KHR/khrplatform.h	/usr/include/KHR/khrplatform.h	libgl-dev	1.4.0-1	libglvnd	1.4.0-1
/usr/include/X11/DECkeysym.h	/usr/include/X11/DECkeysym.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/HPkeysym.h	/usr/include/X11/HPkeysym.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/ICE/ICE.h	/usr/include/X11/ICE/ICE.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ICE/ICEconn.h	/usr/include/X11/ICE/ICEconn.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ICE/ICElib.h	/usr/include/X11/ICE/ICElib.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ICE/ICEmsg.h	/usr/include/X11/ICE/ICEmsg.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ICE/ICEproto.h	/usr/include/X11/ICE/ICEproto.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ICE/ICEutil.h	/usr/include/X11/ICE/ICEutil.h	libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
/usr/include/X11/ImUtil.h	/usr/include/X11/ImUtil.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/SM/SM.h	/usr/include/X11/SM/SM.h	libsm-dev	2:1.2.3-1build2	libsm	2:1.2.3-1build2
/usr/include/X11/SM/SMlib.h	/usr/include/X11/SM/SMlib.h	libsm-dev	2:1.2.3-1build2	libsm	2:1.2.3-1build2
/usr/include/X11/SM/SMproto.h	/usr/include/X11/SM/SMproto.h	libsm-dev	2:1.2.3-1build2	libsm	2:1.2.3-1build2
/usr/include/X11/Sunkeysym.h	/usr/include/X11/Sunkeysym.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/X.h	/usr/include/X11/X.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/XF86keysym.h	/usr/include/X11/XF86keysym.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/XKBlib.h	/usr/include/X11/XKBlib.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/XWDFile.h	/usr/include/X11/XWDFile.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xalloca.h	/usr/include/X11/Xalloca.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xarch.h	/usr/include/X11/Xarch.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xatom.h	/usr/include/X11/Xatom.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xauth.h	/usr/include/X11/Xauth.h	libxau-dev	1:1.0.9-1build5	libxau	1:1.0.9-1build5
/usr/include/X11/Xcms.h	/usr/include/X11/Xcms.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xcursor/Xcursor.h	/usr/include/X11/Xcursor/Xcursor.h	libxcursor-dev	1:1.2.0-2build4	libxcursor	1:1.2.0-2build4
/usr/include/X11/Xdefs.h	/usr/include/X11/Xdefs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xdmcp.h	/usr/include/X11/Xdmcp.h	libxdmcp-dev	1:1.1.3-0ubuntu5	libxdmcp	1:1.1.3-0ubuntu5
/usr/include/X11/Xft/Xft.h	/usr/include/X11/Xft/Xft.h	libxft-dev	2.3.4-1	xft	2.3.4-1
/usr/include/X11/Xft/XftCompat.h	/usr/include/X11/Xft/XftCompat.h	libxft-dev	2.3.4-1	xft	2.3.4-1
/usr/include/X11/Xfuncproto.h	/usr/include/X11/Xfuncproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xfuncs.h	/usr/include/X11/Xfuncs.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/Xlib-xcb.h	/usr/include/X11/Xlib-xcb.h	libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
/usr/include/X11/Xlib.h	/usr/include/X11/Xlib.h	libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3
