binary_package	binary_version	source_package	source_version
adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme	41.0-1ubuntu1
apt	2.4.14	apt	2.4.14
base-files	12ubuntu4.7	base-files	12ubuntu4.7
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	binutils	2.38-4ubuntu2.12
comerr-dev	2.1-1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2
firebird-dev	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2
freetds-dev	1.3.6-1	freetds	1.3.6-1
gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3
gettext	0.21-4ubuntu4	gettext	0.21-4ubuntu4
krb5-multidev	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libacl1	2.3.1-1	acl	2.3.1-1
libacl1-dev	2.3.1-1	acl	2.3.1-1
libapparmor1	3.0.4-2ubuntu2.5	apparmor	3.0.4-2ubuntu2.5
libapt-pkg6.0	2.4.14	apt	2.4.14
libarchive13	3.6.0-1ubuntu1.6	libarchive	3.6.0-1ubuntu1.6
libargon2-1	0~20171227-0.3	argon2	0~20171227-0.3
libasan6	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3
libasound2	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1
libasound2-dev	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1
libassuan0	2.5.5-1build1	libassuan	2.5.5-1build1
libasyncns0	0.8-6build2	libasyncns	0.8-6build2
libatk-bridge2.0-0	2.38.0-3	at-spi2-atk	2.38.0-3
libatk-bridge2.0-dev	2.38.0-3	at-spi2-atk	2.38.0-3
libatk1.0-0	2.36.0-3build1	atk1.0	2.36.0-3build1
libatk1.0-dev	2.36.0-3build1	atk1.0	2.36.0-3build1
libatomic1	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libatspi2.0-0	2.44.0-3	at-spi2-core	2.44.0-3
libatspi2.0-dev	2.44.0-3	at-spi2-core	2.44.0-3
libattr1	1:2.5.1-1build1	attr	1:2.5.1-1build1
libattr1-dev	1:2.5.1-1build1	attr	1:2.5.1-1build1
libaudit1	1:3.0.7-1build1	audit	1:3.0.7-1build1
libavahi-client3	0.8-5ubuntu5.4	avahi	0.8-5ubuntu5.4
libavahi-common3	0.8-5ubuntu5.4	avahi	0.8-5ubuntu5.4
libbinutils	2.38-4ubuntu2.12	binutils	2.38-4ubuntu2.12
libblkid-dev	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libblkid1	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libbrotli-dev	1.0.9-2build6	brotli	1.0.9-2build6
libbrotli1	1.0.9-2build6	brotli	1.0.9-2build6
libbsd0	0.11.5-1	libbsd	0.11.5-1
libbz2-1.0	1.0.8-5build1	bzip2	1.0.8-5build1
libc6	2.35-0ubuntu3.13	glibc	2.35-0ubuntu3.13
libc6-dev	2.35-0ubuntu3.13	glibc	2.35-0ubuntu3.13
libcairo-gobject2	1.16.0-5ubuntu2.1	cairo	1.16.0-5ubuntu2.1
